Date,Document,Supplier Name,Payment Ref #Invoice number,Description,Debit (Amount Owed),Credit (Payments/Credit Notes Applied)
7/7/2024,Invoice,Total,PINV2034,Gasoline Delivery,26200.0,
7/7/2024,Payment,Engen,PAY_PINV2034,Payment for PINV2034,,26200.0
7/7/2024,Invoice,Total,PINV2177,Gasoline Delivery,22600.0,
7/7/2024,Payment,Engen,PAY_PINV2177,Payment for PINV2177,,22600.0
7/7/2024,Invoice,Total,PINV2182,Gasoline Delivery,36600.0,
7/7/2024,Payment,Engen,PAY_PINV2182,Payment for PINV2182,,36600.0
7/7/2024,Invoice,Total,PINV2101,Diesel Delivery,33000.0,
7/7/2024,Payment,Engen,PAY_PINV2101,Payment for PINV2101,,33000.0
7/7/2024,Invoice,Total,PINV2051,Diesel Delivery,30000.0,
7/7/2024,Payment,Engen,PAY_PINV2051,Payment for PINV2051,,30000.0
7/7/2024,Invoice,Total,PINV2035,Gasoline Delivery,23000.0,
7/7/2024,Payment,Engen,PAY_PINV2035,Payment for PINV2035,,23000.0
7/8/2024,Invoice,Total,PINV2119,Diesel Delivery,18150.0,
7/8/2024,Payment,Engen,PAY_PINV2119,Payment for PINV2119,,18150.0
7/8/2024,Invoice,Total,PINV2374,Gasoline Delivery,34800.0,
7/8/2024,Payment,Engen,PAY_PINV2374,Payment for PINV2374,,34800.0
7/8/2024,Invoice,Total,PINV2284,Diesel Delivery,16800.0,
7/8/2024,Payment,Engen,PAY_PINV2284,Payment for PINV2284,,16800.0
7/8/2024,Invoice,Total,PINV2197,Diesel Delivery,18900.0,
7/8/2024,Payment,Engen,PAY_PINV2197,Payment for PINV2197,,18900.0
7/8/2024,Invoice,Total,PINV2453,Gasoline Delivery,35700.0,
7/8/2024,Payment,Engen,PAY_PINV2453,Payment for PINV2453,,35700.0
7/8/2024,Invoice,Total,PINV2012,Diesel Delivery,25200.0,
7/8/2024,Payment,Engen,PAY_PINV2012,Payment for PINV2012,,25200.0
7/8/2024,Invoice,Total,PINV2267,Diesel Delivery,37500.0,
7/8/2024,Payment,Engen,PAY_PINV2267,Payment for PINV2267,,37500.0
7/8/2024,Invoice,Total,PINV2008,Gasoline Delivery,28250.0,
7/8/2024,Payment,Engen,PAY_PINV2008,Payment for PINV2008,,28250.0
7/8/2024,Invoice,Total,PINV2024,Gasoline Delivery,27000.0,
7/8/2024,Payment,Engen,PAY_PINV2024,Payment for PINV2024,,27000.0
7/9/2024,Invoice,Total,PINV2388,Diesel Delivery,25600.0,
7/9/2024,Payment,Engen,PAY_PINV2388,Payment for PINV2388,,25600.0
7/9/2024,Invoice,Total,PINV2266,Diesel Delivery,15900.0,
7/9/2024,Payment,Engen,PAY_PINV2266,Payment for PINV2266,,15900.0
7/9/2024,Invoice,Total,PINV2491,Gasoline Delivery,26600.0,
7/9/2024,Payment,Engen,PAY_PINV2491,Payment for PINV2491,,26600.0
7/9/2024,Invoice,Total,PINV2146,Gasoline Delivery,26200.0,
7/9/2024,Payment,Engen,PAY_PINV2146,Payment for PINV2146,,26200.0
7/9/2024,Invoice,Total,PINV2333,Gasoline Delivery,34500.0,
7/9/2024,Payment,Engen,PAY_PINV2333,Payment for PINV2333,,34500.0
7/9/2024,Invoice,Total,PINV2016,Gasoline Delivery,36600.0,
7/9/2024,Payment,Engen,PAY_PINV2016,Payment for PINV2016,,36600.0
7/10/2024,Invoice,Total,PINV2014,Diesel Delivery,31800.0,
7/10/2024,Payment,Engen,PAY_PINV2014,Payment for PINV2014,,31800.0
7/10/2024,Invoice,Total,PINV2277,Gasoline Delivery,18450.0,
7/10/2024,Payment,Engen,PAY_PINV2277,Payment for PINV2277,,18450.0
7/10/2024,Invoice,Total,PINV2286,Diesel Delivery,27250.0,
7/10/2024,Payment,Engen,PAY_PINV2286,Payment for PINV2286,,27250.0
7/10/2024,Invoice,Total,PINV2298,Diesel Delivery,24200.0,
7/10/2024,Payment,Engen,PAY_PINV2298,Payment for PINV2298,,24200.0
7/10/2024,Invoice,Total,PINV2344,Gasoline Delivery,27500.0,
7/10/2024,Payment,Engen,PAY_PINV2344,Payment for PINV2344,,27500.0
7/11/2024,Invoice,Total,PINV2114,Gasoline Delivery,26800.0,
7/11/2024,Payment,Engen,PAY_PINV2114,Payment for PINV2114,,26800.0
7/11/2024,Invoice,Total,PINV2291,Diesel Delivery,37500.0,
7/11/2024,Payment,Engen,PAY_PINV2291,Payment for PINV2291,,37500.0
7/12/2024,Invoice,Total,PINV2472,Gasoline Delivery,29250.0,
7/12/2024,Payment,Engen,PAY_PINV2472,Payment for PINV2472,,29250.0
7/12/2024,Invoice,Total,PINV2224,Diesel Delivery,23800.0,
7/12/2024,Payment,Engen,PAY_PINV2224,Payment for PINV2224,,23800.0
7/12/2024,Invoice,Total,PINV2192,Gasoline Delivery,37500.0,
7/12/2024,Payment,Engen,PAY_PINV2192,Payment for PINV2192,,37500.0
7/12/2024,Invoice,Total,PINV2382,Diesel Delivery,30500.0,
7/12/2024,Payment,Engen,PAY_PINV2382,Payment for PINV2382,,30500.0
7/12/2024,Invoice,Total,PINV2490,Gasoline Delivery,29000.0,
7/12/2024,Payment,Engen,PAY_PINV2490,Payment for PINV2490,,29000.0
7/12/2024,Invoice,Total,PINV2210,Diesel Delivery,33000.0,
7/12/2024,Payment,Engen,PAY_PINV2210,Payment for PINV2210,,33000.0
7/12/2024,Invoice,Total,PINV2493,Gasoline Delivery,34500.0,
7/12/2024,Payment,Engen,PAY_PINV2493,Payment for PINV2493,,34500.0
7/12/2024,Invoice,Total,PINV2131,Diesel Delivery,27000.0,
7/12/2024,Payment,Engen,PAY_PINV2131,Payment for PINV2131,,27000.0
7/12/2024,Invoice,Total,PINV2231,Diesel Delivery,23200.0,
7/12/2024,Payment,Engen,PAY_PINV2231,Payment for PINV2231,,23200.0
7/13/2024,Invoice,Total,PINV2226,Gasoline Delivery,38700.0,
7/13/2024,Payment,Engen,PAY_PINV2226,Payment for PINV2226,,38700.0
7/13/2024,Invoice,Total,PINV2249,Diesel Delivery,15900.0,
7/13/2024,Payment,Engen,PAY_PINV2249,Payment for PINV2249,,15900.0
7/13/2024,Invoice,Total,PINV2193,Diesel Delivery,32700.0,
7/13/2024,Payment,Engen,PAY_PINV2193,Payment for PINV2193,,32700.0
7/14/2024,Invoice,Total,PINV2406,Diesel Delivery,36900.0,
7/14/2024,Payment,Engen,PAY_PINV2406,Payment for PINV2406,,36900.0
7/14/2024,Invoice,Total,PINV2311,Gasoline Delivery,19800.0,
7/14/2024,Payment,Engen,PAY_PINV2311,Payment for PINV2311,,19800.0
7/14/2024,Invoice,Total,PINV2058,Diesel Delivery,30000.0,
7/14/2024,Payment,Engen,PAY_PINV2058,Payment for PINV2058,,30000.0
7/14/2024,Invoice,Total,PINV2361,Diesel Delivery,32250.0,
7/14/2024,Payment,Engen,PAY_PINV2361,Payment for PINV2361,,32250.0
7/14/2024,Invoice,Total,PINV2438,Gasoline Delivery,30000.0,
7/14/2024,Payment,Engen,PAY_PINV2438,Payment for PINV2438,,30000.0
7/15/2024,Invoice,Total,PINV2210,Gasoline Delivery,34200.0,
7/15/2024,Payment,Engen,PAY_PINV2210,Payment for PINV2210,,34200.0
7/15/2024,Invoice,Total,PINV2108,Diesel Delivery,23600.0,
7/15/2024,Payment,Engen,PAY_PINV2108,Payment for PINV2108,,23600.0
7/15/2024,Invoice,Total,PINV2205,Diesel Delivery,19200.0,
7/15/2024,Payment,Engen,PAY_PINV2205,Payment for PINV2205,,19200.0
7/15/2024,Invoice,Total,PINV2039,Diesel Delivery,31250.0,
7/15/2024,Payment,Engen,PAY_PINV2039,Payment for PINV2039,,31250.0
7/16/2024,Invoice,Total,PINV2103,Gasoline Delivery,25200.0,
7/16/2024,Payment,Engen,PAY_PINV2103,Payment for PINV2103,,25200.0
7/16/2024,Invoice,Total,PINV2511,Gasoline Delivery,23000.0,
7/16/2024,Payment,Engen,PAY_PINV2511,Payment for PINV2511,,23000.0
7/16/2024,Invoice,Total,PINV2084,Gasoline Delivery,32500.0,
7/16/2024,Payment,Engen,PAY_PINV2084,Payment for PINV2084,,32500.0
7/16/2024,Invoice,Total,PINV2503,Gasoline Delivery,18150.0,
7/16/2024,Payment,Engen,PAY_PINV2503,Payment for PINV2503,,18150.0
7/16/2024,Invoice,Total,PINV2369,Gasoline Delivery,32500.0,
7/16/2024,Payment,Engen,PAY_PINV2369,Payment for PINV2369,,32500.0
7/16/2024,Invoice,Total,PINV2450,Gasoline Delivery,19650.0,
7/16/2024,Payment,Engen,PAY_PINV2450,Payment for PINV2450,,19650.0
7/16/2024,Invoice,Total,PINV2044,Gasoline Delivery,29750.0,
7/16/2024,Payment,Engen,PAY_PINV2044,Payment for PINV2044,,29750.0
7/16/2024,Invoice,Total,PINV2156,Diesel Delivery,23400.0,
7/16/2024,Payment,Engen,PAY_PINV2156,Payment for PINV2156,,23400.0
7/16/2024,Invoice,Total,PINV2438,Diesel Delivery,23600.0,
7/16/2024,Payment,Engen,PAY_PINV2438,Payment for PINV2438,,23600.0
7/17/2024,Invoice,Total,PINV2312,Diesel Delivery,34500.0,
7/17/2024,Payment,Engen,PAY_PINV2312,Payment for PINV2312,,34500.0
7/17/2024,Invoice,Total,PINV2046,Diesel Delivery,19200.0,
7/17/2024,Payment,Engen,PAY_PINV2046,Payment for PINV2046,,19200.0
7/17/2024,Invoice,Total,PINV2022,Diesel Delivery,24200.0,
7/17/2024,Payment,Engen,PAY_PINV2022,Payment for PINV2022,,24200.0
7/18/2024,Invoice,Total,PINV2555,Gasoline Delivery,17550.0,
7/18/2024,Payment,Engen,PAY_PINV2555,Payment for PINV2555,,17550.0
7/18/2024,Invoice,Total,PINV2524,Gasoline Delivery,17850.0,
7/18/2024,Payment,Engen,PAY_PINV2524,Payment for PINV2524,,17850.0
7/18/2024,Invoice,Total,PINV2338,Gasoline Delivery,40200.0,
7/18/2024,Payment,Engen,PAY_PINV2338,Payment for PINV2338,,40200.0
7/18/2024,Invoice,Total,PINV2251,Diesel Delivery,22400.0,
7/18/2024,Payment,Engen,PAY_PINV2251,Payment for PINV2251,,22400.0
7/18/2024,Invoice,Total,PINV2295,Diesel Delivery,23800.0,
7/18/2024,Payment,Engen,PAY_PINV2295,Payment for PINV2295,,23800.0
7/19/2024,Invoice,Total,PINV2342,Gasoline Delivery,29250.0,
7/19/2024,Payment,Engen,PAY_PINV2342,Payment for PINV2342,,29250.0
7/19/2024,Invoice,Total,PINV2167,Gasoline Delivery,25400.0,
7/19/2024,Payment,Engen,PAY_PINV2167,Payment for PINV2167,,25400.0
7/19/2024,Invoice,Total,PINV2021,Gasoline Delivery,23800.0,
7/19/2024,Payment,Engen,PAY_PINV2021,Payment for PINV2021,,23800.0
7/19/2024,Invoice,Total,PINV2241,Gasoline Delivery,33750.0,
7/19/2024,Payment,Engen,PAY_PINV2241,Payment for PINV2241,,33750.0
7/19/2024,Invoice,Total,PINV2195,Gasoline Delivery,34800.0,
7/19/2024,Payment,Engen,PAY_PINV2195,Payment for PINV2195,,34800.0
7/20/2024,Invoice,Total,PINV2271,Gasoline Delivery,26200.0,
7/20/2024,Payment,Engen,PAY_PINV2271,Payment for PINV2271,,26200.0
7/20/2024,Invoice,Total,PINV2228,Diesel Delivery,18450.0,
7/20/2024,Payment,Engen,PAY_PINV2228,Payment for PINV2228,,18450.0
7/20/2024,Invoice,Total,PINV2072,Gasoline Delivery,37800.0,
7/20/2024,Payment,Engen,PAY_PINV2072,Payment for PINV2072,,37800.0
7/20/2024,Invoice,Total,PINV2519,Gasoline Delivery,26200.0,
7/20/2024,Payment,Engen,PAY_PINV2519,Payment for PINV2519,,26200.0
7/20/2024,Invoice,Total,PINV2100,Diesel Delivery,34200.0,
7/20/2024,Payment,Engen,PAY_PINV2100,Payment for PINV2100,,34200.0
7/20/2024,Invoice,Total,PINV2345,Diesel Delivery,19200.0,
7/20/2024,Payment,Engen,PAY_PINV2345,Payment for PINV2345,,19200.0
7/20/2024,Invoice,Total,PINV2170,Gasoline Delivery,26400.0,
7/20/2024,Payment,Engen,PAY_PINV2170,Payment for PINV2170,,26400.0
7/21/2024,Invoice,Total,PINV2028,Diesel Delivery,17100.0,
7/21/2024,Payment,Engen,PAY_PINV2028,Payment for PINV2028,,17100.0
7/21/2024,Invoice,Total,PINV2002,Gasoline Delivery,31500.0,
7/21/2024,Payment,Engen,PAY_PINV2002,Payment for PINV2002,,31500.0
7/21/2024,Invoice,Total,PINV2038,Gasoline Delivery,25000.0,
7/21/2024,Payment,Engen,PAY_PINV2038,Payment for PINV2038,,25000.0
7/22/2024,Invoice,Total,PINV2417,Gasoline Delivery,17550.0,
7/22/2024,Payment,Engen,PAY_PINV2417,Payment for PINV2417,,17550.0
7/22/2024,Invoice,Total,PINV2043,Gasoline Delivery,19650.0,
7/22/2024,Payment,Engen,PAY_PINV2043,Payment for PINV2043,,19650.0
7/22/2024,Invoice,Total,PINV2166,Gasoline Delivery,30750.0,
7/22/2024,Payment,Engen,PAY_PINV2166,Payment for PINV2166,,30750.0
7/22/2024,Invoice,Total,PINV2081,Gasoline Delivery,38400.0,
7/22/2024,Payment,Engen,PAY_PINV2081,Payment for PINV2081,,38400.0
7/22/2024,Invoice,Total,PINV2134,Gasoline Delivery,18150.0,
7/22/2024,Payment,Engen,PAY_PINV2134,Payment for PINV2134,,18150.0
7/23/2024,Invoice,Total,PINV2095,Diesel Delivery,23200.0,
7/23/2024,Payment,Engen,PAY_PINV2095,Payment for PINV2095,,23200.0
7/23/2024,Invoice,Total,PINV2447,Diesel Delivery,16350.0,
7/23/2024,Payment,Engen,PAY_PINV2447,Payment for PINV2447,,16350.0
7/23/2024,Invoice,Total,PINV2378,Gasoline Delivery,31000.0,
7/23/2024,Payment,Engen,PAY_PINV2378,Payment for PINV2378,,31000.0
7/24/2024,Invoice,Total,PINV2018,Diesel Delivery,23400.0,
7/24/2024,Payment,Engen,PAY_PINV2018,Payment for PINV2018,,23400.0
7/24/2024,Invoice,Total,PINV2352,Gasoline Delivery,32000.0,
7/24/2024,Payment,Engen,PAY_PINV2352,Payment for PINV2352,,32000.0
7/24/2024,Invoice,Total,PINV2109,Gasoline Delivery,32750.0,
7/24/2024,Payment,Engen,PAY_PINV2109,Payment for PINV2109,,32750.0
7/24/2024,Invoice,Total,PINV2168,Diesel Delivery,29750.0,
7/24/2024,Payment,Engen,PAY_PINV2168,Payment for PINV2168,,29750.0
7/24/2024,Invoice,Total,PINV2113,Gasoline Delivery,18900.0,
7/24/2024,Payment,Engen,PAY_PINV2113,Payment for PINV2113,,18900.0
7/24/2024,Invoice,Total,PINV2055,Gasoline Delivery,24800.0,
7/24/2024,Payment,Engen,PAY_PINV2055,Payment for PINV2055,,24800.0
7/24/2024,Invoice,Total,PINV2091,Gasoline Delivery,16950.0,
7/24/2024,Payment,Engen,PAY_PINV2091,Payment for PINV2091,,16950.0
7/25/2024,Invoice,Total,PINV2351,Gasoline Delivery,35700.0,
7/25/2024,Payment,Engen,PAY_PINV2351,Payment for PINV2351,,35700.0
7/25/2024,Invoice,Total,PINV2189,Diesel Delivery,35100.0,
7/25/2024,Payment,Engen,PAY_PINV2189,Payment for PINV2189,,35100.0
7/25/2024,Invoice,Total,PINV2357,Diesel Delivery,27250.0,
7/25/2024,Payment,Engen,PAY_PINV2357,Payment for PINV2357,,27250.0
7/25/2024,Invoice,Total,PINV2366,Gasoline Delivery,35400.0,
7/25/2024,Payment,Engen,PAY_PINV2366,Payment for PINV2366,,35400.0
7/25/2024,Invoice,Total,PINV2090,Gasoline Delivery,17850.0,
7/25/2024,Payment,Engen,PAY_PINV2090,Payment for PINV2090,,17850.0
7/25/2024,Invoice,Total,PINV2242,Diesel Delivery,27750.0,
7/25/2024,Payment,Engen,PAY_PINV2242,Payment for PINV2242,,27750.0
7/25/2024,Invoice,Total,PINV2194,Diesel Delivery,24800.0,
7/25/2024,Payment,Engen,PAY_PINV2194,Payment for PINV2194,,24800.0
7/26/2024,Invoice,Total,PINV2136,Gasoline Delivery,24400.0,
7/26/2024,Payment,Engen,PAY_PINV2136,Payment for PINV2136,,24400.0
7/26/2024,Invoice,Total,PINV2283,Gasoline Delivery,35400.0,
7/26/2024,Payment,Engen,PAY_PINV2283,Payment for PINV2283,,35400.0
7/27/2024,Invoice,Total,PINV2372,Diesel Delivery,34800.0,
7/27/2024,Payment,Engen,PAY_PINV2372,Payment for PINV2372,,34800.0
7/27/2024,Invoice,Total,PINV2341,Gasoline Delivery,16500.0,
7/27/2024,Payment,Engen,PAY_PINV2341,Payment for PINV2341,,16500.0
7/27/2024,Invoice,Total,PINV2130,Diesel Delivery,29000.0,
7/27/2024,Payment,Engen,PAY_PINV2130,Payment for PINV2130,,29000.0
7/27/2024,Invoice,Total,PINV2140,Gasoline Delivery,37800.0,
7/27/2024,Payment,Engen,PAY_PINV2140,Payment for PINV2140,,37800.0
7/27/2024,Invoice,Total,PINV2133,Diesel Delivery,17250.0,
7/27/2024,Payment,Engen,PAY_PINV2133,Payment for PINV2133,,17250.0
7/28/2024,Invoice,Total,PINV2540,Gasoline Delivery,17850.0,
7/28/2024,Payment,Engen,PAY_PINV2540,Payment for PINV2540,,17850.0
7/28/2024,Invoice,Total,PINV2327,Gasoline Delivery,34200.0,
7/28/2024,Payment,Engen,PAY_PINV2327,Payment for PINV2327,,34200.0
7/28/2024,Invoice,Total,PINV2054,Diesel Delivery,25000.0,
7/28/2024,Payment,Engen,PAY_PINV2054,Payment for PINV2054,,25000.0
7/28/2024,Invoice,Total,PINV2135,Gasoline Delivery,19950.0,
7/28/2024,Payment,Engen,PAY_PINV2135,Payment for PINV2135,,19950.0
7/28/2024,Invoice,Total,PINV2189,Gasoline Delivery,19050.0,
7/28/2024,Payment,Engen,PAY_PINV2189,Payment for PINV2189,,19050.0
7/28/2024,Invoice,Total,PINV2142,Diesel Delivery,27750.0,
7/28/2024,Payment,Engen,PAY_PINV2142,Payment for PINV2142,,27750.0
7/29/2024,Invoice,Total,PINV2123,Gasoline Delivery,40500.0,
7/29/2024,Payment,Engen,PAY_PINV2123,Payment for PINV2123,,40500.0
7/29/2024,Invoice,Total,PINV2324,Diesel Delivery,27750.0,
7/29/2024,Payment,Engen,PAY_PINV2324,Payment for PINV2324,,27750.0
7/29/2024,Invoice,Total,PINV2106,Gasoline Delivery,16800.0,
7/29/2024,Payment,Engen,PAY_PINV2106,Payment for PINV2106,,16800.0
7/29/2024,Invoice,Total,PINV2396,Diesel Delivery,27000.0,
7/29/2024,Payment,Engen,PAY_PINV2396,Payment for PINV2396,,27000.0
7/29/2024,Invoice,Total,PINV2278,Diesel Delivery,28750.0,
7/29/2024,Payment,Engen,PAY_PINV2278,Payment for PINV2278,,28750.0
7/30/2024,Invoice,Total,PINV2181,Gasoline Delivery,39000.0,
7/30/2024,Payment,Engen,PAY_PINV2181,Payment for PINV2181,,39000.0
7/30/2024,Invoice,Total,PINV2315,Diesel Delivery,22600.0,
7/30/2024,Payment,Engen,PAY_PINV2315,Payment for PINV2315,,22600.0
7/30/2024,Invoice,Total,PINV2085,Gasoline Delivery,16950.0,
7/30/2024,Payment,Engen,PAY_PINV2085,Payment for PINV2085,,16950.0
7/30/2024,Invoice,Total,PINV2212,Diesel Delivery,17400.0,
7/30/2024,Payment,Engen,PAY_PINV2212,Payment for PINV2212,,17400.0
7/30/2024,Invoice,Total,PINV2113,Diesel Delivery,17100.0,
7/30/2024,Payment,Engen,PAY_PINV2113,Payment for PINV2113,,17100.0
7/30/2024,Invoice,Total,PINV2197,Gasoline Delivery,39600.0,
7/30/2024,Payment,Engen,PAY_PINV2197,Payment for PINV2197,,39600.0
7/31/2024,Invoice,Total,PINV2307,Gasoline Delivery,35700.0,
7/31/2024,Payment,Engen,PAY_PINV2307,Payment for PINV2307,,35700.0
7/31/2024,Invoice,Total,PINV2162,Diesel Delivery,18300.0,
7/31/2024,Payment,Engen,PAY_PINV2162,Payment for PINV2162,,18300.0
7/31/2024,Invoice,Total,PINV2549,Gasoline Delivery,18600.0,
7/31/2024,Payment,Engen,PAY_PINV2549,Payment for PINV2549,,18600.0
7/31/2024,Invoice,Total,PINV2071,Gasoline Delivery,28250.0,
7/31/2024,Payment,Engen,PAY_PINV2071,Payment for PINV2071,,28250.0
7/31/2024,Invoice,Total,PINV2432,Gasoline Delivery,22800.0,
7/31/2024,Payment,Engen,PAY_PINV2432,Payment for PINV2432,,22800.0
7/31/2024,Invoice,Total,PINV2320,Gasoline Delivery,23400.0,
7/31/2024,Payment,Engen,PAY_PINV2320,Payment for PINV2320,,23400.0
7/31/2024,Invoice,Total,PINV2154,Diesel Delivery,17550.0,
7/31/2024,Payment,Engen,PAY_PINV2154,Payment for PINV2154,,17550.0
8/1/2024,Invoice,Total,PINV2408,Gasoline Delivery,36900.0,
8/1/2024,Payment,Engen,PAY_PINV2408,Payment for PINV2408,,36900.0
8/1/2024,Invoice,Total,PINV2199,Gasoline Delivery,31250.0,
8/1/2024,Payment,Engen,PAY_PINV2199,Payment for PINV2199,,31250.0
8/1/2024,Invoice,Total,PINV2225,Diesel Delivery,16950.0,
8/1/2024,Payment,Engen,PAY_PINV2225,Payment for PINV2225,,16950.0
8/1/2024,Invoice,Total,PINV2150,Gasoline Delivery,39900.0,
8/1/2024,Payment,Engen,PAY_PINV2150,Payment for PINV2150,,39900.0
8/1/2024,Invoice,Total,PINV2531,Gasoline Delivery,19050.0,
8/1/2024,Payment,Engen,PAY_PINV2531,Payment for PINV2531,,19050.0
8/1/2024,Invoice,Total,PINV2088,Gasoline Delivery,23200.0,
8/1/2024,Payment,Engen,PAY_PINV2088,Payment for PINV2088,,23200.0
8/2/2024,Invoice,Total,PINV2545,Gasoline Delivery,30000.0,
8/2/2024,Payment,Engen,PAY_PINV2545,Payment for PINV2545,,30000.0
8/2/2024,Invoice,Total,PINV2039,Gasoline Delivery,18600.0,
8/2/2024,Payment,Engen,PAY_PINV2039,Payment for PINV2039,,18600.0
8/2/2024,Invoice,Total,PINV2041,Gasoline Delivery,28750.0,
